model_name,lr,weight_decay,acc_total,acc_yes,acc_no,acc_up,acc_down,acc_left,acc_right,acc_on,acc_off,acc_stop,acc_go,acc_silence,acc_unknown
efficient_net,0.0005,0,86.85664437336435,96.48,86.51,94.12,93.68,92.13,89.58,93.9,93.89,97.19,91.24,100.0,83.11
efficient_net,0.001,0,88.70311136958418,94.92,87.3,96.32,88.54,94.76,95.37,95.93,90.84,94.78,91.24,100.0,85.99
efficient_net,0.005,0,87.97615585926141,97.27,92.46,97.06,90.12,94.01,93.44,96.34,93.13,95.98,86.85,100.0,84.42
efficient_net,0.01,0,89.19744111660367,96.88,82.54,93.01,91.7,97.75,91.51,95.93,96.95,97.59,87.65,100.0,86.69
