model_name,lr,weight_decay,acc_total,acc_yes,acc_no,acc_up,acc_down,acc_left,acc_right,acc_on,acc_off,acc_stop,acc_go,acc_silence,acc_unknown
transformer,0.0005,0,79.54,94.14,88.49,91.91,86.96,91.76,89.58,85.77,81.68,95.18,84.46,76.74,73.88
transformer,0.001,0,79.19,91.02,88.89,93.01,84.98,87.64,83.4,88.21,90.46,95.58,85.26,86.05,73.31
transformer,0.005,0,28.28,89.06,24.21,38.6,34.39,54.68,77.99,14.63,44.27,61.04,28.69,62.79,16.71
transformer,0.01,0,3.63,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
