model_name,lr,weight_decay,acc_total,acc_yes,acc_no,acc_up,acc_down,acc_left,acc_right,acc_on,acc_off,acc_stop,acc_go,acc_silence,acc_unknown
efficient_net,0.01,0.0005,81.78249491131143,93.36,93.65,82.35,76.68,96.63,94.98,86.18,86.26,86.75,84.06,95.35,77.84
efficient_net,0.01,0.001,78.65658621692353,89.06,57.14,89.71,92.49,68.54,82.24,92.68,89.31,79.12,64.14,97.67,77.37
efficient_net,0.01,0.005,63.78307647571969,79.69,36.51,86.4,76.68,47.19,74.52,86.99,38.93,72.29,91.24,83.72,60.5
efficient_net,0.01,0.01,41.276533876126784,86.72,87.3,56.99,40.71,79.78,84.56,90.65,79.77,53.01,7.97,0.0,26.31
