model_name,lr,weight_decay,acc_total,acc_yes,acc_no,acc_up,acc_down,acc_left,acc_right,acc_on,acc_off,acc_stop,acc_go,acc_silence,acc_unknown
transformer,0.0005,0.0005,80.58,90.23,84.52,92.65,84.98,90.64,88.03,89.84,82.44,94.38,82.07,97.67,75.94
transformer,0.0005,0.001,82.04,91.8,83.33,87.5,89.72,88.01,88.42,88.62,90.84,93.98,80.88,97.67,78.12
transformer,0.0005,0.005,66.57,92.97,78.17,88.24,88.14,90.26,84.94,90.65,83.97,95.98,73.31,93.02,54.22
transformer,0.0005,0.01,63.96,90.23,84.13,83.09,74.31,88.01,80.31,86.18,86.64,83.94,84.06,81.4,51.66
