model_name,lr,weight_decay,acc_total,acc_yes,acc_no,acc_up,acc_down,acc_left,acc_right,acc_on,acc_off,acc_stop,acc_go,acc_silence,acc_unknown
cnn,0.0005,0,55.04507124164001,81.25,69.05,77.57,62.06,99.63,75.68,75.2,87.79,84.34,19.92,95.35,43.53
cnn,0.001,0,75.66152951439372,89.45,84.13,91.54,91.3,91.39,91.89,91.87,81.68,89.16,64.14,93.02,68.84
cnn,0.005,0,75.80692061645827,92.58,90.08,97.43,83.79,98.13,90.35,87.4,91.22,95.18,71.31,97.67,67.13
cnn,0.01,0,83.5853445769119,93.36,86.11,90.44,81.82,90.64,89.58,95.53,90.84,92.77,85.66,95.35,79.8
